dg_v,dg_mu,dg_chi,is_success,termination,cumulative_reward,episode_length
200.0,-5.689361061651368,8.968538319263047,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.48227393840607236,20
200.0,6.35082177425808,25.176142849011015,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.5779328447353853,28
200.0,13.044880757292965,-26.301200635679592,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.9441326198959379,32
200.0,3.8527504458150474,8.362477261008237,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.43538817794713314,16
200.0,-29.981277889739783,-34.00818426446197,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.373820984424781,40
200.0,25.55216068900222,-27.135601452206146,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.1758615477098693,41
200.0,-2.331197411823471,-45.393636890826976,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.3699876464514964,41
200.0,8.487493252693831,-44.56269308188365,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.491324206226839,43
200.0,-18.042277237495025,-49.37299520864653,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.043320014064245,44
200.0,28.186279157571583,7.671209444154243,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.088041139141249,32
200.0,-11.367392501213285,26.182230944649234,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.7027443019943653,30
200.0,-24.814172340541617,29.09703248238752,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.590433386127474,37
200.0,4.612287810156545,-2.9566836324076746,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.272237344808206,12
200.0,7.842864952434262,57.69728426693433,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.315349031360806,50
200.0,-29.87842751914187,-36.83005435588787,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.4750505775402254,41
200.0,9.200731280075239,42.41485271581928,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.344065544201383,39
200.0,-5.449895473547706,-51.40325433544021,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.076005630894264,44
200.0,-2.4397773153631945,58.52107426562419,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.068065043755852,50
200.0,12.729604201629932,-10.808927137620273,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.9781043162036185,22
200.0,2.3219901647755776,-22.60014986114154,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.435215440013187,28
200.0,-11.184232726606915,28.345029922199046,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.862371322678066,31
200.0,-16.91888177485584,25.99015631082993,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.94493389034975,32
200.0,-23.255814999159462,54.99197344390109,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.832373569174747,46
200.0,29.177301838004816,23.2881458829104,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.082186883274764,40
200.0,17.216056909584303,-45.44626471546056,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.415124379011081,47
200.0,25.684530691179447,-7.617482915260695,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.9244134719767425,31
200.0,-28.14305182175276,36.35279625523626,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.2588363267385274,38
200.0,-5.086684161557315,-18.102263433885653,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.9681545528424368,25
200.0,20.21767939422267,-53.82734790296888,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.847867419730905,56
200.0,-18.168435843303264,20.647110783214444,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.694627862698264,30
200.0,8.410608515385718,-27.541337225460325,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.896384637625625,32
200.0,6.794713549674448,25.633567848870698,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.6190144400985866,28
200.0,23.316116710583266,53.79850582439303,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.91220660006555,56
200.0,-2.7200300453065083,-23.825606448038698,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.396271559753431,28
200.0,-27.532426104183937,-20.112070563444178,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.5556075882227294,36
200.0,-4.022275817031826,-6.972229506573953,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.482668875590308,20
200.0,16.00959311368039,50.020588003878956,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.856650080386005,50
200.0,14.282315111947263,20.71200918821856,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.5565789837389914,28
200.0,-17.43087155961029,42.463175821503995,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.3101359810049233,39
200.0,2.41786916000207,22.030763048666145,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.3199371561422393,26
200.0,-19.43728033146718,17.112101641569183,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.5608420922214197,29
200.0,6.447871581160037,-53.98304459123005,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.636940259688889,49
200.0,-25.59947594690174,-53.68973146530082,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.781458672876795,48
200.0,12.948290074914567,-15.427550015524709,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.178667195872785,25
200.0,17.14243431787986,-42.39368784916781,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.0542379212664175,45
200.0,-16.69949834539289,-37.827392129368654,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.8876762505040157,38
200.0,-10.226171441695879,-34.02171818557383,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.3450349031626265,34
200.0,8.25745127478394,-44.84749301617592,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.514174237644923,43
