dg_v,dg_mu,dg_chi,is_success,termination,cumulative_reward,episode_length
200.0,5.746409401760403,1.6560654064812113,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.266585131966072,17
200.0,4.453577738117517,2.345229502791426,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.2359946922515931,17
200.0,5.593035610183939,-12.96597456429756,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.7437711398008665,23
200.0,15.220129027176469,-4.178335412461983,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.9771256304908393,29
200.0,13.134639226062056,-20.264737061880574,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.590317150919437,33
200.0,20.02016007501495,5.7485352221069945,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.5166087132814436,36
200.0,-11.571698352675593,-29.411203870277053,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.624287367231627,52
200.0,1.1147982529772236,-50.44152336643084,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.145862959418731,61
200.0,9.149804985203403,43.57401662111242,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.514138130174813,55
200.0,3.017543554487588,56.20061187765543,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.651088920495592,55
200.0,-23.710513542880374,19.972396813253113,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.9264053739249736,58
200.0,28.011110989544022,-21.509961494486276,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.5115546780236615,64
200.0,9.348880563426448,-58.36969659863764,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.928692573394924,70
200.0,17.172253241152532,-33.99503463275411,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.203042787528956,47
200.0,1.6783995433236214,32.6064233607362,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.7982717970926636,50
200.0,21.46555135158566,1.5775308702587694,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.4778008669019995,34
200.0,13.95948879028112,-9.387031997469805,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.0514064498020599,30
200.0,-15.78998652525841,17.63080119002609,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.0210806927561715,94
200.0,29.745269133323504,1.1145392900934752,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.5168064417191545,45
200.0,3.3346563991116724,-11.717102033656012,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.6450784771943059,23
200.0,11.494014596464446,59.795428162665345,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.704320161411177,64
200.0,-23.695433235593697,-49.73823207337344,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.16229994703928,57
200.0,23.55855415928957,15.129228245254382,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.7985321962089693,49
200.0,15.02787459584853,35.15738638606297,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.408032439751024,63
200.0,29.200938009028327,-12.321879883494475,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.9105111666213546,53
200.0,24.554448600811604,34.91665590940009,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.404966580235047,79
200.0,-12.490355810275965,-23.84204981899152,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.6581572741351325,58
200.0,19.304295170505036,13.304261420033725,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.116441226304361,41
200.0,-7.393120536046098,-38.44225997239283,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.192311643378326,52
200.0,14.939502716921524,-11.638965270815142,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.2343666270070175,32
200.0,13.119557333574527,52.019316076321445,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.798864051283001,63
200.0,7.77089094388446,-38.14433747723113,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.130555848474803,44
200.0,-22.490580575631412,-46.625063912946885,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.719199006042711,56
200.0,10.144300811285852,25.198073414982815,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.1951838092777276,41
200.0,-11.380213574201608,25.731212202077742,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.245596034454289,44
200.0,-28.87463764992729,-43.059733351593046,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.410088112282184,44
200.0,4.736372035312954,47.05111145371728,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.5184009228910025,52
200.0,-11.704906012675306,-57.50199383101687,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.863669261884807,61
200.0,23.808520724073354,24.550554561108385,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.007637095992004,77
200.0,5.981920530851696,-9.573128797508062,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.5633184123339666,21
200.0,-27.61752886665252,42.214764241199774,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.490313325634054,54
200.0,8.789022832712,-4.296170722673487,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.4800843520147078,20
200.0,-17.303536416325024,-10.742930061713977,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.544437694051977,122
200.0,-18.38286162516411,13.2236117261873,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.1807567894511255,114
200.0,-28.038596168473777,-47.892733387613255,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.853549914607487,46
200.0,18.34005471204123,-15.133743880885255,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.047387316322543,60
200.0,4.812194680234548,28.290080815144933,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.100767926192294,35
200.0,12.390546015756662,-52.63102774684459,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.755429022129249,63
200.0,12.336612440245794,46.23799988403307,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.1583283189425995,60
200.0,3.0641029319291135,-46.508067217227136,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.4229143869584595,56
200.0,-28.778763170821758,22.609406455247978,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.3573795534568243,51
200.0,4.755148892808705,44.45526905229673,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.260695989078244,52
200.0,-16.119586837777646,-53.45465162840376,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.479231698074586,61
200.0,-24.832776709093594,-5.3652627128874215,False,timeout_termination,-25.260400819605614,399
200.0,-29.049755747764788,-30.749710464674138,False,timeout_termination,-30.387066162305373,399
200.0,18.22592549423537,0.39928195151645696,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.1514611966901853,30
200.0,-15.254252642592085,-6.166733977850193,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.6625488215428192,96
200.0,23.760678519649012,-3.145573584429961,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.7454008068013618,37
200.0,-8.3921219617759,-48.95084049771478,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.555127493272683,57
200.0,20.65050327370144,-30.55025005670544,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.5108180581203507,71
200.0,-22.285692011141073,51.164457632898646,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.273482881858741,57
200.0,16.304767440944325,-3.2288650006692947,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.0493165966982794,30
200.0,-14.946967106141695,-18.12645022787771,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.684351202813233,114
200.0,27.255282173283327,53.414245719518135,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-9.14620643472462,90
200.0,29.483968844203567,-17.790634550291124,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.391780502564407,60
200.0,-0.8465212947732397,-17.378200450969004,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.085031873548843,33
200.0,-1.5259672976542618,25.405023114315554,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.8819484910656525,36
200.0,-25.271536700641555,57.93450459049558,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.370000585555026,60
200.0,24.789022930234815,-1.447548821327075,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.8217116773469468,37
200.0,13.86385776370141,23.646328568056447,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.4042569478222124,45
200.0,4.173936633741583,-52.47470125214227,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.572219269913163,63
200.0,-9.402189381226105,6.726908018919829,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.0500961141261151,43
200.0,-0.6310049892077494,-10.919191789939177,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.6459022052759352,28
200.0,15.94479503338205,2.5921344878979866,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.9850097676029225,29
200.0,2.4947633715351856,14.391225870027071,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.8606040574326457,27
200.0,14.215011932910393,-54.668350408554495,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.22168551481753,66
200.0,-19.59583558626309,32.28836475889558,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.273465587861452,95
200.0,7.6184748729455904,-3.0103028774463496,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.3892313933516956,19
200.0,-12.53510842736404,-8.988760972722567,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.803547173098392,80
200.0,21.259712238083758,-55.97806520249523,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-7.146489928877146,74
200.0,11.033551926386401,-25.40385092930724,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.8570648607328748,34
200.0,-22.508221466608553,9.459560675417947,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.26816091477455,146
200.0,6.606191732131826,1.4291796371615817,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.31177466544210714,18
200.0,-7.5786453514720655,-30.093581346913673,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.407241600748918,50
200.0,19.410478456658645,53.30399537258833,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-7.131425063778129,73
200.0,-24.632670675026013,-51.29954278173054,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.41115927311863,58
200.0,11.01269085469876,-55.59215894974043,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.381054098368667,67
200.0,29.672094344238637,42.14393667922296,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-8.266466367576387,88
200.0,2.3263423159969676,24.73223730883818,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.7180363121259712,33
200.0,29.71993395548126,-35.48014167369252,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.401062014673826,81
200.0,9.790685571888524,21.813545265082183,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.7373139619705935,34
200.0,6.542760668092463,-27.696193377282803,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.9216414956221064,35
200.0,-2.8275124847253466,17.833781722794484,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.2626444979182605,34
200.0,1.5525949925139066,36.87101323304586,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.288218771915409,50
200.0,1.5955663437982572,50.76323655043815,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.969388430763194,54
200.0,9.2859729053323,12.94039326549536,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.068173730554389,32
