dg_v,dg_mu,dg_chi,is_success,termination,cumulative_reward,episode_length
200.0,18.476447384189626,1.8390673250570373,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.3497634363038336,33
200.0,-0.04332825359310277,12.179802914802892,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.99280659935732,37
200.0,23.832828058174528,33.08228282942322,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.080126129051582,49
200.0,-9.403747811199693,-15.711931224554611,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.8463451750915374,53
200.0,-17.539091395251187,39.413386232943694,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.6429710721929,54
200.0,29.236610600275533,-21.754699381737993,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.02489409552651,62
200.0,-12.790967454746678,12.377778006187427,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.0535356957113358,62
200.0,26.805176571565475,-37.281553855228644,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.3229463758568425,76
200.0,29.246699411187997,15.930752712857526,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.077132667184024,45
200.0,-21.124434925352645,51.385322755244346,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-6.755254109516019,66
200.0,22.19379070177296,-13.069823215296722,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.215408537192295,46
200.0,-11.990022905326473,44.82641344755143,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.515293400591794,62
200.0,0.7682769861938894,-43.68964751753921,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.9389359821378696,70
200.0,-10.2021926768725,21.590119339682673,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.2235051030202913,50
200.0,12.964477776213919,49.84561445886091,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-7.512357306638567,94
200.0,19.273705102965977,35.64833145024555,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.120535441726414,50
