dg_v,dg_mu,dg_chi,is_success,termination,cumulative_reward,episode_length
200.0,0.37933791428696395,2.308083555565389,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.006502716523502187,1
200.0,4.333769728325038,-14.743733524623593,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-0.8507134212411941,21
200.0,-25.939304258302016,20.727697692043705,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.1821273199093203,36
200.0,23.093577244611808,31.885023186907873,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.1256818196632983,40
200.0,-11.171143666654103,-45.45634813660472,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.406458385763793,41
200.0,-29.981277889739783,-34.00818426446197,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.424829791246371,42
200.0,-4.253580080051332,-48.92723801360495,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.814454579888625,43
200.0,-15.936028563125008,-51.88706901692086,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.2059241885940875,45
200.0,-22.246701308889953,-57.51227609077609,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.137097145526671,53
200.0,18.786912082166417,5.800402150184993,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.3359463630985935,26
200.0,11.196833289979388,56.667844001824804,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.461245926148262,52
200.0,-26.98801636030393,-20.47019586432325,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.4644252320698734,38
200.0,-29.87842751914187,-36.83005435588787,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.530138672385972,42
200.0,25.872711922538024,34.760077591894884,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.7279403600744527,45
200.0,16.961920800281312,44.109359649735865,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.9082202881390713,44
200.0,10.64566661632881,-55.241033387446244,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-5.144594290218924,51
200.0,-7.186283887405224,-57.18576559919982,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.85915488762954,48
200.0,-19.84800505437284,6.519810043083126,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.8547492924021227,38
200.0,27.052770619423143,3.9133979747470775,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.946650664701064,32
200.0,10.277905338963208,39.61218789851546,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-3.0159738454161094,38
200.0,-18.06400696881149,-24.826356787651648,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.0024992433646225,36
200.0,-23.425177697422583,-12.142862142363654,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-2.0819001348126873,35
200.0,17.286383627908712,14.111445819560146,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.4522913274379008,27
200.0,17.216056909584303,-45.44626471546056,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-4.460668167202119,49
200.0,0.39411099486951073,-18.959307443776197,True,reach_target_termination_single_step_based_on_angle_of_velocity_vector,-1.0589415586876754,24
